Балкон или лоджия,В доме,Вид сделки,Высота потолков,Год постройки,Грузовой лифт,Двор,Дополнительно,Жилая площадь,Количество комнат,"Корпус, строение",Мебель,Название новостройки,Общая площадь,Окна,Отделка,Парковка,Пассажирский лифт,Площадь кухни,Ремонт,Санузел,Способ продажи,Срок сдачи,Техника,Тип дома,Тип участия,Тёплый пол,Этаж,Этажей в доме
,,возможна ипотека,3 м,,1,"закрытая территория, детская площадка, спортивная площадка",,,1,Корпус 1.4 (1 секция),,ЖК «Адмирал»,36.2 м²,во двор,без отделки,,1,,,,договор долевого участия,Сдача в 3 кв. 2028,,монолитный,ДДУ по ФЗ 214,,13 из 19,19
,,возможна ипотека,3 м,,1,"закрытая территория, детская площадка",,,1,Корпус 4,,ЖК «Мангазея в Богородском»,46.3 м²,,без отделки,,1,,,,договор долевого участия,Сдача в 2 кв. 2028,,монолитный,ДДУ по ФЗ 214,,8 из 25,25
,,возможна ипотека,3 м,,4,"закрытая территория, детская площадка, спортивная площадка",,,1,Корпус 5,,Комплекс апартаментов N'ICE LOFT,35.7 м²,,без отделки,подземная,4,,,,,Сдача в 2 кв. 2025,,монолитный,ДДУ по ФЗ 214,,2 из 21,21
,,,2.9 м,,1,"закрытая территория, детская площадка, спортивная площадка",панорамные окна,11.7 м²,1,3 очередь (Корпус 1),,ЖК «City Bay»,43.2 м²,во двор,предчистовая,подземная,1,,,,,Сдача в 1 кв. 2027,,монолитный,ДДУ по ФЗ 214,,21 из 48,48
лоджия,мусоропровод,возможна ипотека,3 м,,нет,"закрытая территория, детская площадка, спортивная площадка",,30 м²,1,,,,48 м²,"во двор, на улицу",,за шлагбаумом во дворе,4,16 м²,дизайнерский,совмещенный,свободная,,,блочный,,,10 из 16,16
,,,3.4 м,,,закрытая территория,,15 м²,1,Квартал «Беллини» (корпус 14),,ЖК «Клубный город на реке Primavera»,47.5 м²,,без отделки,подземная,,18.5 м²,,раздельный,,Сдача в 4 кв. 2028,,монолитный,ДДУ по ФЗ 214,,16 из 20,20
,,,3 м,,,"детская площадка, спортивная площадка",,12.3 м²,1,Корпус C (Silver),,ЖК «‎SYMPHONY34 (Симфония 34)» ,39.8 м²,,предчистовая,,,,,,,Сдан 4 кв. 2024,,монолитно-кирпичный,другое,,3 из 43,43
,мусоропровод,возможна ипотека,,1979,1,"детская площадка, спортивная площадка",,20 м²,1,,"кухня, хранение одежды, спальные места",,35.7 м²,"во двор, на солнечную сторону",,открытая во дворе,1,10 м²,косметический,совмещенный,свободная,,,панельный,,,2 из 12,12
,,возможна ипотека,,,,,,15.1 м²,1,Корпус С1,,Luzhniki Collection (Коллекция Лужники),60.7 м²,,без отделки,,,,,,договор долевого участия,Сдача в 4 кв. 2026,,монолитный,ДДУ по ФЗ 214,,9 из 18,18
лоджия,,возможна ипотека,2.9 м,,,"детская площадка, спортивная площадка",,30.6 м²,1,Урбан-блок UB2,,ЖК SET,35.6 м²,,без отделки,,,,,,,Сдача в 3 кв. 2028,,монолитный,ДДУ по ФЗ 214,,29 из 59,59
лоджия,"консьерж, мусоропровод",возможна ипотека,,2007,1,"детская площадка, спортивная площадка",,19 м²,1,,"кухня, хранение одежды, спальные места",,37.7 м²,во двор,,открытая во дворе,1,7 м²,косметический,совмещенный,свободная,,"холодильник, стиральная машина",панельный,,,5 из 17,17
,,,,,,,,12.1 м²,1,Башня С,,ЖК «Sokolniki»,40.5 м²,,без отделки,,,,,,,Сдача в 4 кв. 2027,,монолитный,ДДУ по ФЗ 214,,12 из 24,24
,,возможна ипотека,3.1 м,,4,"закрытая территория, детская площадка, спортивная площадка",,12.9 м²,1,Корпус 4,,ЖК «AMBER CITY»,43.6 м²,,чистовая,"подземная, открытая во дворе",,,,,договор долевого участия,Сдача в 3 кв. 2027,,монолитно-кирпичный,ДДУ по ФЗ 214,,15 из 46,46
,,возможна ипотека,3.3 м,,,детская площадка,"гардеробная, панорамные окна",45.8 м²,1,Секция 6,,Элитный жилой комплекс «Монблан»,72.5 м²,во двор,без отделки,подземная,1,9.8 м²,,"совмещенный, раздельный",договор долевого участия,Сдача в 1 кв. 2028,,монолитный,ДДУ по ФЗ 214,,9 из 12,12
балкон,мусоропровод,возможна ипотека,2.7 м,2019,1,детская площадка,,,1,,"кухня, хранение одежды, спальные места",,31.7 м²,во двор,,открытая во дворе,1,8.6 м²,косметический,совмещенный,свободная,,"холодильник, стиральная машина",панельный,,,11 из 16,16
